date,depth,variable,observation
2018-08-25,9,temperature,11.901074636363637
2018-08-25,1.6,temperature,NA
2018-08-26,0.1,temperature,25.193301029411764
2018-08-26,1,temperature,24.177469852941176
2018-08-26,2,temperature,23.86495382352941
2018-08-26,3,temperature,21.730668088235294
2018-08-26,4,temperature,16.066506323529413
2018-08-26,5,temperature,12.875698823529412
2018-08-26,6,temperature,12.177299264705882
2018-08-26,7,temperature,12.056271323529412
2018-08-26,8,temperature,11.909157352941177
2018-08-26,9,temperature,11.899915147058824
2018-08-26,1.6,temperature,NA
2018-08-27,0.1,temperature,26.321911506849315
2018-08-27,1,temperature,24.61614808219178
2018-08-27,2,temperature,23.948104109589043
2018-08-27,3,temperature,21.80845410958904
2018-08-27,4,temperature,16.03769698630137
2018-08-27,5,temperature,12.957637671232877
2018-08-27,6,temperature,12.20121
2018-08-27,7,temperature,12.039755753424657
2018-08-27,8,temperature,11.881541917808219
2018-08-27,9,temperature,11.853925342465754
2018-08-27,1.6,temperature,25.433324324324325
2018-08-28,0.1,temperature,26.955865983606557
2018-08-28,1,temperature,25.05578024590164
2018-08-28,2,temperature,24.034540983606558
2018-08-28,3,temperature,21.73569680327869
2018-08-28,4,temperature,16.182223606557375
2018-08-28,5,temperature,12.980203442622951
2018-08-28,6,temperature,12.145578032786885
2018-08-28,7,temperature,12.049339262295081
2018-08-28,8,temperature,11.90865393442623
2018-08-28,9,temperature,11.811405409836066
2018-08-28,1.6,temperature,25.541625
2018-08-29,0.1,temperature,27.43163923611111
2018-08-29,1,temperature,25.41240701388889
2018-08-29,2,temperature,24.157187708333332
2018-08-29,3,temperature,21.77352486111111
2018-08-29,4,temperature,16.19542923611111
2018-08-29,5,temperature,12.978913402777778
2018-08-29,6,temperature,12.156631458333333
2018-08-29,7,temperature,12.07143736111111
2018-08-29,8,temperature,11.8943625
2018-08-29,9,temperature,11.799730416666666
2018-08-29,1.6,temperature,26.031535211267606
2018-08-30,0.1,temperature,27.50670152777778
2018-08-30,1,temperature,25.99465125
2018-08-30,2,temperature,24.31299125
2018-08-30,3,temperature,21.729266944444444
2018-08-30,4,temperature,16.295910069444446
2018-08-30,5,temperature,13.03854625
2018-08-30,6,temperature,12.191864652777777
2018-08-30,7,temperature,12.040151666666667
2018-08-30,8,temperature,11.892758333333333
2018-08-30,9,temperature,11.80705375
2018-08-30,1.6,temperature,26.653013986013985
2018-08-31,0.1,temperature,26.859506111111113
2018-08-31,1,temperature,26.074097291666668
2018-08-31,2,temperature,24.420617222222223
2018-08-31,3,temperature,21.80834388888889
2018-08-31,4,temperature,16.336430694444445
2018-08-31,5,temperature,13.046017152777777
2018-08-31,6,temperature,12.103055625
2018-08-31,7,temperature,11.951186805555556
2018-08-31,8,temperature,11.92783513888889
2018-08-31,9,temperature,11.909371041666667
2018-08-31,1.6,temperature,26.401458333333334
2018-09-01,0.1,temperature,26.61551423611111
2018-09-01,1,temperature,26.334782430555556
2018-09-01,2,temperature,24.598269652777777
2018-09-01,3,temperature,21.754428194444444
2018-09-01,4,temperature,16.409344583333333
2018-09-01,5,temperature,13.056201527777779
2018-09-01,6,temperature,12.068732569444444
2018-09-01,7,temperature,12.003082083333334
2018-09-01,8,temperature,11.984612361111111
2018-09-01,9,temperature,11.966397847222222
2018-09-01,1.6,temperature,26.496454545454547
2018-09-02,0.1,temperature,27.327008194444446
2018-09-02,1,temperature,25.989745069444446
2018-09-02,2,temperature,24.823334097222222
2018-09-02,3,temperature,21.792135
2018-09-02,4,temperature,16.43683409722222
2018-09-02,5,temperature,13.121583194444444
2018-09-02,6,temperature,12.13072486111111
2018-09-02,7,temperature,12.033480486111111
2018-09-02,8,temperature,12.011031597222223
2018-09-02,9,temperature,11.958312569444445
2018-09-02,1.6,temperature,26.226715277777778
2018-09-03,0.1,temperature,27.399318680555556
2018-09-03,1,temperature,26.352613819444443
2018-09-03,2,temperature,24.894486805555555
2018-09-03,3,temperature,21.860527847222222
2018-09-03,4,temperature,16.533801597222222
2018-09-03,5,temperature,13.11458513888889
2018-09-03,6,temperature,12.131350625
2018-09-03,7,temperature,12.02985125
2018-09-03,8,temperature,12.006068194444444
2018-09-03,9,temperature,11.965128611111112
2018-09-03,1.6,temperature,26.831314685314684
2018-09-04,0.1,temperature,28.083705138888888
2018-09-04,1,temperature,26.73021673611111
2018-09-04,2,temperature,25.106800208333333
2018-09-04,3,temperature,21.866200069444446
2018-09-04,4,temperature,16.562288055555555
2018-09-04,5,temperature,13.140986180555556
2018-09-04,6,temperature,12.11608486111111
2018-09-04,7,temperature,12.080366527777779
2018-09-04,8,temperature,12.060970486111112
2018-09-04,9,temperature,12.042764166666666
2018-09-04,1.6,temperature,27.13502777777778
2018-09-05,0.1,temperature,27.558488541666666
2018-09-05,1,temperature,26.868730972222224
2018-09-05,2,temperature,25.145816805555555
2018-09-05,3,temperature,21.91869826388889
2018-09-05,4,temperature,16.581643055555556
2018-09-05,5,temperature,13.13924298611111
